"","X","pubbel1","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"73460",73460,1,1,1,1,2,1,6,2,1,1,1,1,10,840,2,26,6,1,840004,1,1
"73461",73461,3,1,1,1,2,1,4,2,2,1,1,2,10,840,1,69,5,4,840010,2,1
"73462",73462,1,1,1,1,1,1,2,2,1,2,1,1,8,840,2,60,4,1,840010,2,1
"73463",73463,2,1,1,1,2,1,4,1,1,1,1,1,10,840,2,39,9,1,840010,80,6
"73464",73464,3,2,1,2,1,1,7,2,1,2,3,3,1,840,1,35,9,1,840010,96,1
"73465",73465,2,1,1,1,2,1,7,1,1,2,1,1,10,840,1,73,5,7,840010,1,6
"73466",73466,2,1,1,2,2,2,2,1,2,2,1,2,8,840,1,38,9,1,840010,80,1
"73467",73467,1,1,1,1,2,1,2,1,2,1,1,1,8,840,2,76,8,7,840010,2,1
"73468",73468,1,1,1,1,2,1,2,1,1,2,1,1,10,840,2,42,8,2,840010,2,1
"73469",73469,-1,1,1,-1,2,1,4,2,2,-1,1,2,7,840,1,80,5,3,840010,96,1
"73470",73470,2,1,-1,2,2,1,3,1,3,2,1,1,9,840,1,47,6,1,840010,4,1
"73471",73471,2,1,1,1,2,2,6,2,1,1,2,1,5,840,2,36,3,1,840010,1,1
"73472",73472,2,1,1,1,2,1,1,1,2,2,1,1,10,840,1,60,4,3,840010,2,1
"73473",73473,2,1,1,1,2,2,6,2,1,1,1,2,7,840,1,85,2,4,840010,1,5
"73474",73474,1,1,1,1,2,-1,2,1,-1,-1,1,1,10,840,2,-1,4,1,840010,96,1
"73475",73475,2,1,1,1,2,1,1,1,1,2,1,1,10,840,2,65,7,5,840010,2,1
"73476",73476,3,1,1,1,2,1,7,2,2,3,1,2,4,840,1,36,5,1,840010,96,1
"73477",73477,2,1,1,1,2,2,2,1,1,1,1,1,10,840,1,42,8,1,840010,2,1
"73478",73478,1,1,1,1,1,1,6,2,1,2,1,1,10,840,2,45,3,7,840011,99,6
"73479",73479,3,1,1,1,2,4,4,3,2,1,2,3,5,840,2,24,7,2,840011,80,6
"73480",73480,1,1,1,1,-1,4,6,2,2,1,1,1,10,840,1,32,3,7,840011,5,6
"73481",73481,1,1,1,1,-1,1,2,1,2,2,1,1,8,840,1,33,5,3,840011,80,6
"73482",73482,1,1,1,1,2,1,2,1,2,2,1,1,9,840,2,33,5,5,840004,1,1
"73483",73483,3,1,1,1,2,1,7,3,1,3,1,3,8,840,1,73,5,4,840010,96,1
"73484",73484,2,1,1,1,2,1,3,1,2,3,1,2,6,840,1,30,7,1,840010,2,6
"73485",73485,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,37,7,1,840010,1,1
"73486",73486,2,1,1,1,1,1,5,2,1,1,1,1,9,840,2,39,3,1,840010,96,1
"73487",73487,1,1,1,1,-1,1,2,1,2,1,1,1,10,840,2,30,9,1,840010,2,2
"73488",73488,2,1,1,1,2,1,5,2,3,2,1,3,5,840,1,34,9,2,840010,2,1
"73489",73489,3,1,1,-1,1,1,7,3,1,1,1,2,8,840,1,39,4,7,840010,96,2
"73490",73490,1,1,1,1,2,1,2,1,2,1,1,1,10,840,1,61,5,1,840010,2,1
