"","X","pubbel1","pubbel2","pubbel3","pubbel4","pribel1","pribel2","pribel3","othbel1","othbel2","pubact1","pubact2","priact1","priact2","iden1","iden2","iden3","country","sex","age","educ","wrkstat","ethnic","denom","marital"
"55729",55729,1,1,5,1,1,1,1,2,1,2,1,1,1,1,1,9,840,1,38,5,7,840002,62,4
"55730",55730,3,1,3,3,1,1,1,2,1,4,2,1,2,1,1,2,840,2,62,5,7,840002,0,5
"55731",55731,3,1,1,1,1,1,1,2,1,1,1,1,1,1,1,10,840,1,18,7,1,840002,62,6
"55732",55732,2,4,3,4,1,1,1,2,1,4,2,1,2,1,2,7,840,2,52,6,7,840002,62,1
"55733",55733,3,3,4,2,1,1,1,2,1,2,1,1,1,1,1,10,840,1,71,9,4,840005,64,1
"55734",55734,3,4,1,2,2,2,2,2,1,6,2,2,3,2,3,4,840,1,70,4,4,840002,0,1
"55735",55735,2,2,4,2,1,1,1,2,2,2,1,1,2,1,1,10,840,1,34,5,1,840002,53,1
"55736",55736,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,10,840,1,52,9,1,840003,62,1
"55737",55737,2,2,4,2,1,1,1,2,1,3,1,1,2,1,1,10,840,2,72,5,1,840002,62,5
"55738",55738,1,3,1,2,-1,1,-1,2,10,4,2,1,2,3,4,6,840,1,43,9,1,840008,0,1
"55739",55739,1,3,2,2,1,1,1,2,1,2,1,1,2,1,1,10,840,2,28,5,2,840005,64,1
"55740",55740,2,2,1,2,1,1,1,2,1,2,1,1,1,1,1,10,840,1,24,9,1,840002,53,6
"55741",55741,2,5,1,3,1,2,2,2,1,6,2,2,2,2,3,3,840,2,41,8,3,840002,0,1
"55742",55742,2,3,4,2,1,1,1,2,1,2,1,1,2,1,1,10,840,2,46,9,5,840002,62,1
"55743",55743,1,3,2,1,1,1,1,2,1,2,1,1,2,1,1,10,840,2,36,8,2,840002,62,1
"55744",55744,3,4,4,2,1,1,1,2,2,3,2,1,1,1,2,8,840,1,32,7,1,840002,62,1
"55745",55745,3,1,5,1,1,1,1,2,1,1,1,1,1,1,1,10,840,1,25,5,1,840005,62,1
"55746",55746,1,3,3,3,1,1,1,2,1,2,1,1,2,1,1,10,840,1,75,9,4,840002,64,1
"55747",55747,1,3,3,3,1,1,1,2,5,2,1,1,1,1,1,10,840,2,42,6,1,840005,62,6
"55748",55748,4,5,1,5,1,1,2,2,1,7,2,2,2,3,4,2,840,1,24,5,1,840002,0,1
"55749",55749,1,3,4,4,1,1,1,2,7,2,1,1,1,1,1,10,840,1,21,8,1,840008,64,6
"55750",55750,2,4,2,4,1,2,1,1,6,5,2,1,1,2,2,6,840,1,25,5,1,840002,0,6
"55751",55751,1,2,1,3,1,1,1,2,4,4,2,1,2,1,2,8,840,1,21,6,1,840008,12,6
"55752",55752,3,5,1,3,2,1,-1,1,3,7,2,2,2,2,3,1,840,1,26,3,1,840005,0,6
"55753",55753,3,4,1,5,1,1,2,2,1,7,2,1,1,1,2,10,840,2,80,6,4,840002,0,5
"55754",55754,2,4,2,4,1,1,2,1,5,7,2,1,1,1,2,10,840,2,53,9,1,840002,0,2
"55755",55755,2,4,3,3,1,1,1,2,2,6,1,1,1,1,1,10,840,1,20,4,2,840002,53,6
"55756",55756,3,3,3,3,1,1,2,2,2,6,2,1,1,1,2,8,840,1,47,9,3,840002,0,4
"55757",55757,3,3,3,3,1,1,1,2,2,7,2,1,2,2,3,6,840,1,27,9,1,840002,0,2
"55758",55758,2,4,2,4,1,1,2,2,1,7,1,1,2,1,3,8,840,2,65,6,3,840002,0,3
"55759",55759,2,3,2,2,1,1,1,2,1,7,2,1,1,1,1,10,840,2,29,2,7,840003,53,1
"55760",55760,2,3,2,3,1,1,1,2,7,4,2,1,2,1,1,9,840,2,29,3,5,840002,53,3
"55761",55761,3,4,4,3,1,1,-1,1,2,5,2,1,1,-1,3,4,840,1,21,8,2,840002,0,6
"55762",55762,3,5,2,4,1,1,2,1,2,7,2,1,1,2,3,10,840,2,41,6,2,840005,0,6
"55763",55763,-1,-1,4,3,1,1,1,1,2,6,2,1,2,1,1,9,840,2,44,1,7,840005,0,4
"55764",55764,1,4,4,2,1,1,1,2,1,2,1,1,1,1,2,10,840,1,79,3,4,840002,64,1
"55765",55765,3,3,2,2,1,1,1,2,1,3,2,1,1,1,1,10,840,2,32,5,2,840002,0,1
"55766",55766,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,64,5,1,840002,64,1
"55767",55767,1,4,3,3,1,1,1,2,1,2,1,1,1,1,1,10,840,2,47,5,1,840002,64,6
"55768",55768,2,2,2,1,1,1,1,2,2,2,1,1,1,1,2,10,840,1,46,7,1,840002,62,6
"55769",55769,1,1,1,3,1,1,1,2,1,3,1,1,1,1,1,10,840,2,62,5,4,840002,62,3
"55770",55770,2,1,5,1,1,1,1,2,7,4,1,1,1,1,1,9,840,2,63,9,1,840002,64,1
"55771",55771,1,4,4,3,1,1,1,2,1,2,1,2,2,2,1,8,840,2,46,5,1,840002,64,1
"55772",55772,2,3,3,3,1,1,1,2,2,4,1,1,1,1,1,8,840,2,42,9,2,840003,64,1
"55773",55773,1,3,2,1,1,1,1,2,1,2,1,1,1,1,1,10,840,2,31,8,1,840002,53,5
"55774",55774,2,1,5,1,1,1,1,2,5,2,1,1,1,1,1,8,840,1,37,5,1,840002,64,3
"55775",55775,1,3,3,1,1,1,1,2,5,3,1,1,1,1,1,10,840,2,19,7,2,840002,52,6
"55776",55776,1,1,4,1,1,1,1,2,3,3,1,1,1,1,1,10,840,1,35,5,1,840002,53,1
"55777",55777,1,3,3,3,1,1,1,2,1,3,1,1,2,1,1,10,840,2,43,5,1,840002,53,6
"55778",55778,3,4,2,4,1,1,2,1,7,7,2,1,1,2,2,10,840,2,75,5,4,840002,42,2
"55779",55779,2,3,1,5,1,1,1,2,1,3,1,1,1,1,1,9,840,2,67,6,4,840002,42,1
"55780",55780,3,2,1,4,1,1,-1,2,1,5,2,1,2,2,1,10,840,1,76,8,2,840002,42,1
"55781",55781,3,4,2,5,1,1,1,2,1,4,1,1,1,1,1,10,840,1,82,7,3,840002,42,1
